,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Saint Kitts and Nevis","Data source","All types","","8.68","8.54","8.47","8.28","8.38","9.68","10.07","10.13","10.79","10.02","9.14","8.54","8.29","8.55","8.41"
"Saint Lucia","Data source","All types","","9.97","9.73","9.99","10.43","10.87","11.09","12.09","12.68","13.45","12.32","11.93","12.55","11.85","12.03","11.69"
"Saint Vincent and the Grenadines","Data source","All types","","7.01","7.07","6.93","7.02","7.00","6.85","6.92","5.89","5.93","6.04","5.42","5.10","4.94","4.73","4.80"
"Samoa","Data source","All types","","","","","2.15","3.01","2.88","3.97","3.85","3.52","3.63","3.62","4.17","3.30","3.43","3.00"
"San Marino","Data source","All types","","","","","","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Sao Tome and Principe","Data source","All types","","","","","5.69","5.58","4.13","4.36","4.14","5.46","5.27","5.78","6.54","5.80","5.02","5.07"
"Saudi Arabia","Data source","All types","","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.10","0.08","0.05","0.06","0.05","0.05","0.05","0.05"
"Senegal","Data source","All types","","0.26","0.26","0.28","0.32","0.28","0.30","0.28","0.32","0.34","0.33","0.35","0.33","0.36","0.34","0.29"
"Serbia","Data source","All types","","9.09","9.16","9.38","9.56","9.65","9.85","9.54","9.30","8.58","9.60","7.42","7.25","6.95","7.53","7.38"
"Seychelles","Data source","All types","","","","","9.72","6.51","4.94","6.33","8.12","8.12","7.82","7.91","7.41","11.15","6.72","8.24"
"Sierra Leone","Data source","All types","","","","","3.78","3.84","3.97","3.91","3.86","3.80","3.83","3.99","4.07","4.06","4.21","3.97"
"Singapore","Data source","All types","1.79","1.83","1.83","1.89","1.80","1.84","1.73","1.70","1.60","1.55","1.49","1.45","1.43","2.16","2.08","2.03"
"Slovakia","Data source","All types","","10.60","9.89","10.12","10.24","10.13","10.63","11.37","10.58","10.28","10.81","10.03","9.85","10.78","10.73","11.06"
"Slovenia","Data source","All types","","10.46","9.53","10.95","10.61","10.32","10.52","10.94","11.02","12.26","11.14","10.00","11.58","9.29","10.80","11.90"
"Solomon Islands","Data source","All types","","","","","0.99","1.10","1.21","1.09","0.85","0.99","0.90","1.18","1.18","1.08","0.70","0.71"
"Somalia","Data source","All types","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"South Africa","Data source","All types","","7.38","7.34","7.38","7.38","7.28","7.60","8.19","8.48","8.50","8.69","6.96","6.93","7.04","7.38","7.30"
"Spain","Data source","All types","","","9.25","9.35","9.62","9.78","9.99","10.24","11.05","11.86","11.92","11.96","12.09","12.26","9.86","11.12"
"Sri Lanka","Data source","All types","","2.37","2.56","2.80","3.03","2.31","2.05","2.10","2.29","1.96","1.97","1.56","1.69","1.62","1.68","1.45"
"Sudan","Data source","All types","","","","","2.12","1.77","1.99","2.01","2.01","1.90","1.55","1.59","1.74","1.59","1.81","1.76"
"Suriname","Data source","All types","","6.32","6.02","5.73","5.64","5.26","5.13","4.94","4.72","4.52","4.47","4.55","4.53","4.41","4.23","4.29"
"Swaziland","Data source","All types","","","","","5.20","4.93","4.90","4.87","5.55","5.53","5.08","5.78","5.65","5.52","6.72","7.19"
